disease,f1,rouge1,rouge2,rougeL,bleu4
食管肿瘤破裂出血的中医治疗方法有哪些。,0.2578947368421053,0.2559999950128356,0.05565216908618568,0.20266666167950234,0.023947444416749838
脓疱疮的中医治疗方法有哪些。,0.17,0.16666666174012873,0.04506065359725402,0.14141413648760348,0.00962986397210977
唇内面黏膜恶性肿瘤的中医治疗方法有哪些。,0.2551020408163265,0.25257731463067284,0.052631574140412876,0.1855670053523224,0.018209632748135685
先天性泪道发育不全的中医治疗方法有哪些。,0.10590631364562118,0.10245901152118068,0.016620493645039508,0.09016392955396761,0.0038215347500286773
结直肠肛门畸形的中医治疗方法有哪些。,0.19827586206896552,0.19565216909603036,0.03817914335970533,0.14782608213950865,0.008290507252607566
遗尿的中医治疗方法有哪些。,0.02948402948402948,0.024813890838562884,0.0,0.024813890838562884,0.0027265347629751137
急性肺源性心脏病的中医治疗方法有哪些。,0.18181818181818182,0.1784776853176819,0.036496345545048325,0.14173227849353492,0.008542253459571915
牙酸蚀症的中医治疗方法有哪些。,0.024999999999999998,0.021008398482188124,0.0,0.021008398482188124,0.002106940258509604
包茎和包皮过长的中医治疗方法有哪些。,0.2549019607843137,0.25310173197963176,0.049180322869712946,0.1588089280094085,0.014916467977441804
楔状缺损的中医治疗方法有哪些。,0.1374722838137472,0.13422818303179554,0.026946102824770533,0.12080536423984925,0.009686506710171346
视神经转移性肿瘤的中医治疗方法有哪些。,0.18867924528301885,0.18604650675361722,0.061196100729533194,0.152219868275816,0.011206506457621678
先天性腭瘘的中医治疗方法有哪些。,0.20718816067653276,0.20469082656034493,0.03375526926778587,0.14925372634712536,0.01042765528524697
臁疮的中医治疗方法有哪些。,0.22023809523809526,0.21686746491508213,0.045454540635203024,0.16265059744520266,0.0101550014894219
大骨节病的中医治疗方法有哪些。,0.19088937093275488,0.18818380267446827,0.04657932548824233,0.14004375891079218,0.018473143968418673
大口畸形的中医治疗方法有哪些。,0.21691973969631237,0.21444200820688644,0.03443328050983072,0.1750546996729696,0.005839991048556214
急性单纯性胃炎的中医治疗方法有哪些。,0.2696078431372549,0.2673267276763308,0.06240249109995391,0.15346534153771704,0.03254051843653209
喉肉芽肿的中医治疗方法有哪些。,0.24362606232294615,0.2406876742900305,0.03861003406352076,0.16618910695478706,0.01250932124070431
骨膜性软骨瘤的中医治疗方法有哪些。,0.1871101871101871,0.18448636822277611,0.028735627189854215,0.13417190281397115,0.009811760568892653
结肠粪性穿孔的中医治疗方法有哪些。,0.2175925925925926,0.21545666952859951,0.05023547380899034,0.16861826203445437,0.017134609593322372
外耳继发性感染的中医治疗方法有哪些。,0.02469135802469136,0.019999995010126247,0.0,0.019999995010126247,0.002881527703936706
前纵隔良性肿瘤的中医治疗方法有哪些。,0.219959266802444,0.21765913265544837,0.057298767170294265,0.14373716140288165,0.020274626584646478
颅底脑脊液瘘的中医治疗方法有哪些。,0.21709006928406466,0.21445220972935392,0.07575757084646498,0.18181817709532128,0.02885423430299894
近视眼的中医治疗方法有哪些。,0.04455445544554456,0.03999999500450062,0.0032948879485702478,0.029999995004500832,0.0035702087821597073
肠上皮化生的中医治疗方法有哪些。,0.2741116751269036,0.2717948668170941,0.046656293651406146,0.1641025591247865,0.01917034731017196
更年期综合征的中医治疗方法有哪些。,0.1618798955613577,0.15831134064675145,0.024911027119908263,0.13192611637234514,0.006863981641889639
鼻出血的中医治疗方法有哪些。,0.15102974828375285,0.14780599973865152,0.02543719693570784,0.11085449858391715,0.007069034335341037
失荣的中医治疗方法有哪些。,0.3148148148148148,0.3130841072544546,0.07485029444709418,0.2663551352918378,0.02328946258655571
肠消化不良的中医治疗方法有哪些。,0.1641025641025641,0.1606217567709202,0.02123893307692183,0.145077715320143,0.006136073061351048
肾结石的中医治疗方法有哪些。,0.029239766081871343,0.023668634070761876,0.0,0.023668634070761876,0.0032158082616317004
心内膜垫缺损的中医治疗方法有哪些。,0.02666666666666667,0.021621616686049335,0.0,0.021621616686049335,0.002744129414192997
水中毒的中医治疗方法有哪些。,0.20806794055201697,0.20556744697806872,0.054834049878042884,0.17130620500804733,0.011584374467078462
大肠憩室伴穿孔的中医治疗方法有哪些。,0.024630541871921183,0.019900492609466316,0.0,0.019900492609466316,0.002422000757455644
椎基底动脉供血不足的中医治疗方法有哪些。,0.2857142857142857,0.28328611398053116,0.08317579842982295,0.20396600066608364,0.04629711012086593
妊娠合并糖尿病的中医治疗方法有哪些。,0.028037383177570093,0.023584900696423258,0.0,0.023584900696423258,0.0026762842382264066
男子不育症的中医治疗方法有哪些。,0.07194244604316546,0.06617646621107295,0.004878045018325328,0.06617646621107295,0.006816227570132914
蛲虫病的中医治疗方法有哪些。,0.23557692307692304,0.24213074577912758,0.046357611020350506,0.15496367556121,0.0113356699809666
动眼、滑车及外展神经疾病的中医治疗方法有哪些。,0.024489795918367346,0.020576126744484582,0.0,0.020576126744484582,0.002591802836812416
鼻背中线皮样囊肿及瘘管的中医治疗方法有哪些。,0.17768595041322313,0.17499999515312512,0.031117392478049163,0.12083332848645853,0.009978663043406043
霍奇金病的中医治疗方法有哪些。,0.2372188139059305,0.23505154172388146,0.03949223772674978,0.16907216028058256,0.00988309270767044
获得性结膜黑变病的中医治疗方法有哪些。,0.1481481481481481,0.14553014074195755,0.020467831319039526,0.12058211579393263,0.007697419526302098
无头疽的中医治疗方法有哪些。,0.18859649122807015,0.18584070310595985,0.060882795634416335,0.15044247301746436,0.022719950665384372
双鼻畸形的中医治疗方法有哪些。,0.05221932114882506,0.05804748842210832,0.0032840674602435563,0.05804748842210832,0.005146780044382022
颌间间隙的中医治疗方法有哪些。,0.18480492813141686,0.18219461216259675,0.030942329781592455,0.13664595791829037,0.0055708786874671175
年龄相关性白内障(未成熟期)的中医治疗方法有哪些。,0.1906976744186046,0.18823528927335653,0.046583845944022755,0.1552941128027683,0.018432977584697887
眶壁爆裂性骨折的中医治疗方法有哪些。,0.2692307692307693,0.26763989767713914,0.0644122334908377,0.2092457370931975,0.01722710636202444
单纯性肺嗜酸粒细胞浸润症的中医治疗方法有哪些。,0.017130620985010708,0.012987008028337193,0.0,0.012987008028337193,0.0021392566494281553
水肿的中医治疗方法有哪些。,0.024464831804281342,0.018575846401289575,0.0,0.018575846401289575,0.0036308650904324138
鹅掌风的中医治疗方法有哪些。,0.22641509433962265,0.22380951891848086,0.04709575641352645,0.17619047129943324,0.0177762103324701
眼睑黄色瘤的中医治疗方法有哪些。,0.22157434402332363,0.21828908056490992,0.05633802328903038,0.15929203041741732,0.027800831081144912
气管假性淋巴瘤的中医治疗方法有哪些。,0.18000000000000002,0.17676767178604236,0.05059021433691029,0.14141413643250705,0.020316640285478527
陈旧性脉络膜视网膜炎的中医治疗方法有哪些。,0.0321285140562249,0.02839756097231509,0.0,0.02839756097231509,0.0021904809935361404
小涎(唾液)腺生物学行为未定肿瘤的中医治疗方法有哪些。,0.050682261208577,0.04733727335488613,0.005201555510767187,0.04339250017934376,0.002788444630748022
阔鼻的中医治疗方法有哪些。,0.02888086642599278,0.02197801715251887,0.0,0.02197801715251887,0.004610466002600952
肺吸虫病的中医治疗方法有哪些。,0.18848167539267016,0.18518518018644506,0.04081632165839523,0.15343914844041337,0.01463921229716049
鞭虫病的中医治疗方法有哪些。,0.2618384401114206,0.2591549247450903,0.0364963458807081,0.15774647404086506,0.011391932930981218
喉痹的中医治疗方法有哪些。,0.1604938271604938,0.15624999559082045,0.023668635183020214,0.13749999559082046,0.0058405441374412385
慢性淋巴细胞性白血病的中医治疗方法有哪些。,0.2731958762886599,0.2708333283399795,0.06734006236506516,0.20833332833997953,0.039974520501179236
颊部肿物的中医治疗方法有哪些。,0.1195219123505976,0.11646585865542511,0.01668984204116126,0.1044176658843408,0.004358176162504813
舌尖恶性肿瘤的中医治疗方法有哪些。,0.041928721174004195,0.03805496337068571,0.0,0.03805496337068571,0.0024625214357931495
巨乳头性角结膜炎的中医治疗方法有哪些。,0.3161094224924012,0.31384614893368057,0.07850466811242933,0.21538461047214216,0.034392989138715066
声带突撕脱的中医治疗方法有哪些。,0.29017857142857145,0.2882882832984336,0.060344822587693636,0.2027026977128481,0.020893295498905604
外科皮脂腺囊肿的中医治疗方法有哪些。,0.02977667493796526,0.025062651723294162,0.0,0.025062651723294162,0.0031868190648787586
撞击伤目的中医治疗方法有哪些。,0.15695067264573992,0.15384614892641443,0.03909773937990905,0.12669682765944615,0.011085710461014248
理化因素所致肺炎的中医治疗方法有哪些。,0.03571428571428571,0.03012047727899622,0.0,0.03012047727899622,0.004165217118584658
单侧绞窄性股疝的中医治疗方法有哪些。,0.19047619047619052,0.1879999951767201,0.05263157399989304,0.15999999517672014,0.012126826794024029
胃溃疡伴癌变的中医治疗方法有哪些。,0.17521367521367523,0.17278617216649808,0.03124999500197814,0.11231101017945713,0.007003032907896371
白塞病相关性视神经炎的中医治疗方法有哪些。,0.21445221445221443,0.21176470097871292,0.03442878999424545,0.1505882303904777,0.013923810242497106
泪总管狭窄的中医治疗方法有哪些。,0.026246719160104983,0.021276590756140825,0.0,0.021276590756140825,0.0034104278834865918
颌下良性肿瘤的中医治疗方法有哪些。,0.23728813559322032,0.23504273008300472,0.08391607891617224,0.17521367025394494,0.030441203887291768
