disease,f1,rouge1,rouge2,rougeL
食管肿瘤破裂出血的中医治疗方法有哪些。,0.2479784366576819,0.2452316026564902,0.0705128155560181,0.2070844636919126
脓疱疮的中医治疗方法有哪些。,0.2734584450402145,0.2710027050432944,0.0739495748716054,0.2113821088373324
唇内面黏膜恶性肿瘤的中医治疗方法有哪些。,0.285,0.2828282778532803,0.0825396775737468,0.1969696919946945
先天性泪道发育不全的中医治疗方法有哪些。,0.2610837438423645,0.2587064626636717,0.0558139484936727,0.18407959699203
结直肠肛门畸形的中医治疗方法有哪些。,0.3113456464379947,0.3093333283336533,0.0541401223910203,0.2399999950003201
遗尿的中医治疗方法有哪些。,0.2265193370165746,0.2234636821509941,0.0639730589735745,0.1899441290783684
急性肺源性心脏病的中医治疗方法有哪些。,0.32,0.3180592942466271,0.1348684160788177,0.2695417740309938
牙酸蚀症的中医治疗方法有哪些。,0.2340425531914894,0.231182790731443,0.0367534406850706,0.1720430057852065
包茎和包皮过长的中医治疗方法有哪些。,0.28125,0.2789473634232687,0.0859872561477649,0.2157894686864267
楔状缺损的中医治疗方法有哪些。,0.3068783068783069,0.3048128292258858,0.0388978880318586,0.1871657704023565
视神经转移性肿瘤的中医治疗方法有哪些。,0.2094240837696335,0.2063492013632038,0.0412044324163347,0.1798941749081774
先天性腭瘘的中医治疗方法有哪些。,0.3735224586288416,0.372315030838512,0.1077146966266007,0.2625298279745502
臁疮的中医治疗方法有哪些。,0.2541436464088398,0.2513966430448488,0.0477001653595076,0.1899441290783684
大骨节病的中医治疗方法有哪些。,0.2786885245901639,0.2762430889232625,0.0587275643314913,0.204419884503373
大口畸形的中医治疗方法有哪些。,0.3291770573566084,0.3274559143957516,0.0619468976564339,0.2720402972672881
急性单纯性胃炎的中医治疗方法有哪些。,0.3043478260869565,0.3021977972317655,0.0999999950268891,0.2142857093196777
喉肉芽肿的中医治疗方法有哪些。,0.2340425531914893,0.2311827907821714,0.0391517079369512,0.1559139735778704
骨膜性软骨瘤的中医治疗方法有哪些。,0.34,0.3383838334125345,0.1140215666549701,0.2323232273519284
结肠粪性穿孔的中医治疗方法有哪些。,0.2776349614395887,0.275324670324979,0.0348101215830803,0.1974025924029011
外耳继发性感染的中医治疗方法有哪些。,0.3217158176943699,0.3197831928381842,0.0879478777395519,0.2493224882311382
前纵隔良性肿瘤的中医治疗方法有哪些。,0.2959183673469387,0.2938144280376502,0.0591715926562887,0.221649479584042
颅底脑脊液瘘的中医治疗方法有哪些。,0.2393162393162393,0.2363112342080742,0.0816326480649269,0.178674346600005
近视眼的中医治疗方法有哪些。,0.2902374670184697,0.2879999950060089,0.0554699487756206,0.2293333283393423
肠上皮化生的中医治疗方法有哪些。,0.3324675324675324,0.3307086564595173,0.1023255764430505,0.2519684989792025
更年期综合征的中医治疗方法有哪些。,0.2986666666666667,0.2964959518777109,0.0711974060084732,0.2210242537645034
鼻出血的中医治疗方法有哪些。,0.3240223463687151,0.3220338933108302,0.1034482708621286,0.2542372831413387
失荣的中医治疗方法有哪些。,0.2555555555555555,0.2528089837679902,0.053422365618045,0.1966292084870914
肠消化不良的中医治疗方法有哪些。,0.3244837758112094,0.3223880547036757,0.0980735501974294,0.2746268606738249
肾结石的中医治疗方法有哪些。,0.2865329512893983,0.289855067494392,0.0920353932883705,0.2492753573494645
心内膜垫缺损的中医治疗方法有哪些。,0.3324808184143222,0.3307493491213803,0.0699088096635751,0.2583979279327498
水中毒的中医治疗方法有哪些。,0.2349726775956284,0.2320441939134948,0.0534223656294162,0.1546961276151523
大肠憩室伴穿孔的中医治疗方法有哪些。,0.3031914893617021,0.3010752638416292,0.0648298167261994,0.2311827907233496
椎基底动脉供血不足的中医治疗方法有哪些。,0.2898550724637681,0.2873900243289962,0.0831889031467973,0.2404692032146267
妊娠合并糖尿病的中医治疗方法有哪些。,0.3271767810026385,0.3253333283393422,0.1165048493694035,0.2346666616726756
男子不育症的中医治疗方法有哪些。,0.2637362637362638,0.2611111061135803,0.0711864356862399,0.2111111061135803
蛲虫病的中医治疗方法有哪些。,0.2459016393442623,0.2430939176777266,0.0604982156867318,0.1933701607716493
动眼、滑车及外展神经疾病的中医治疗方法有哪些。,0.2864583333333333,0.284210521416759,0.0861243970335439,0.2105263108904433
鼻背中线皮样囊肿及瘘管的中医治疗方法有哪些。,0.2406417112299465,0.2378378328625275,0.0634920585019404,0.1945945896192842
霍奇金病的中医治疗方法有哪些。,0.2710027100271003,0.2684931456858698,0.0429752016132237,0.2136986251379247
获得性结膜黑变病的中医治疗方法有哪些。,0.2841823056300268,0.2818428134343902,0.0771812030557185,0.2439024340305962
无头疽的中医治疗方法有哪些。,0.2063037249283668,0.2028985457650075,0.0551724088064808,0.1739130385186306
双鼻畸形的中医治疗方法有哪些。,0.2955665024630542,0.2935323333084578,0.0881934516242321,0.2388059651492538
颌间间隙的中医治疗方法有哪些。,0.2250639386189258,0.2222222172225227,0.0409448768912647,0.1808785479718768
年龄相关性白内障(未成熟期)的中医治疗方法有哪些。,0.2636103151862464,0.2608695602184416,0.0704697936613219,0.2434782558706155
眶壁爆裂性骨折的中医治疗方法有哪些。,0.3290488431876606,0.3272727223051442,0.0942562542375192,0.2961038911363131
单纯性肺嗜酸粒细胞浸润症的中医治疗方法有哪些。,0.2067183462532299,0.2036553475270812,0.0541401224228167,0.1618798906080212
水肿的中医治疗方法有哪些。,0.2764705882352941,0.2738095188095238,0.0705882302972957,0.2321428521428572
鹅掌风的中医治疗方法有哪些。,0.3371428571428571,0.3352601106129507,0.0749574055621954,0.2138728273759565
眼睑黄色瘤的中医治疗方法有哪些。,0.2039660056657224,0.200573060907546,0.034782603695668,0.1432664706496664
气管假性淋巴瘤的中医治疗方法有哪些。,0.2819843342036553,0.2796833723672211,0.0536277552810262,0.237467013528171
陈旧性脉络膜视网膜炎的中医治疗方法有哪些。,0.2329113924050633,0.2301790232248612,0.0791788807295691,0.1841432175982628
小涎(唾液)腺生物学行为未定肿瘤的中医治疗方法有哪些。,0.2454308093994778,0.2427440583323704,0.0472440895374052,0.195250654638439
阔鼻的中医治疗方法有哪些。,0.2379603399433427,0.2349570150829633,0.0414507722690249,0.1948424019024475
肺吸虫病的中医治疗方法有哪些。,0.2631578947368421,0.2606382928746039,0.071317824473818,0.2127659524490721
鞭虫病的中医治疗方法有哪些。,0.2770780856423173,0.2748091553289435,0.0441176420797583,0.1628498677971371
喉痹的中医治疗方法有哪些。,0.2936708860759493,0.2915600973515349,0.0929535183121185,0.1841432175561385
慢性淋巴细胞性白血病的中医治疗方法有哪些。,0.2520107238605898,0.249322488224969,0.0806451562936527,0.216802163021717
颊部肿物的中医治疗方法有哪些。,0.304,0.3018867874793122,0.075235104724944,0.2210242537865898
舌尖恶性肿瘤的中医治疗方法有哪些。,0.3104325699745547,0.3084832855059113,0.0829493037643614,0.2107969101845746
巨乳头性角结膜炎的中医治疗方法有哪些。,0.2666666666666666,0.2642486996740853,0.06088279561023,0.1968911867207174
声带突撕脱的中医治疗方法有哪些。,0.3201970443349753,0.3184079552139799,0.075187964945718,0.2039800945174625
外科皮脂腺囊肿的中医治疗方法有哪些。,0.3117505995203837,0.3099273558149488,0.0748502944314966,0.2324455156212443
撞击伤目的中医治疗方法有哪些。,0.3169398907103825,0.3149171220938006,0.0730896960033557,0.2320441939170051
理化因素所致肺炎的中医治疗方法有哪些。,0.2352941176470588,0.2325581345712397,0.0540540490713555,0.1602067133826094
单侧绞窄性股疝的中医治疗方法有哪些。,0.3232323232323232,0.321428566434949,0.0717628655154172,0.2193877501084184
胃溃疡伴癌变的中医治疗方法有哪些。,0.3125,0.3105263108249307,0.0896445081596433,0.2421052581933519
白塞病相关性视神经炎的中医治疗方法有哪些。,0.2864864864864865,0.2841530004644809,0.0715447104487543,0.2076502682240438
泪总管狭窄的中医治疗方法有哪些。,0.2666666666666666,0.2641509384154431,0.0707395448466727,0.1994609114612653
颌下良性肿瘤的中医治疗方法有哪些。,0.2094240837696335,0.2063492014298313,0.0562499950632816,0.164021159101789
肺移植排斥的中医治疗方法有哪些。,0.2939759036144578,0.2919707979247104,0.0642335716585437,0.2335766373407688
玻璃体先天性畸形的中医治疗方法有哪些。,0.2437810945273631,0.2412060251588345,0.0601503709439316,0.1859296432492867
先天性喉裂的中医治疗方法有哪些。,0.2717391304347826,0.2692307642362034,0.0635929997816205,0.2032966983021375
玻璃体脓肿的中医治疗方法有哪些。,0.2010050251256281,0.1979695381576439,0.046439623496823,0.1573604011018064
皮样囊肿的中医治疗方法有哪些。,0.2949061662198391,0.2926829218293051,0.0975609706155862,0.2384823798238851
腭裂的中医治疗方法有哪些。,0.3520408163265306,0.3505154589196514,0.0754147763042438,0.26288659294027
上颌牙弓狭窄的中医治疗方法有哪些。,0.3224181360201511,0.3206106820721404,0.0504731811535098,0.254452921257891
胸椎管狭窄的中医治疗方法有哪些。,0.3139240506329114,0.3120204553635834,0.0865533180296651,0.2301790231385196
先天性腺瘤样肺囊肿的中医治疗方法有哪些。,0.2717391304347826,0.2692307642331845,0.0980392106906,0.1923076873101076
视交叉病变的中医治疗方法有哪些。,0.2849462365591397,0.2826086906574906,0.057877808508132,0.2173912993531428
巩膜炎的中医治疗方法有哪些。,0.2762148337595909,0.2739018038416496,0.0870967692502084,0.222222217278342
肝诊断性影像异常所见的中医治疗方法有哪些。,0.3008356545961003,0.2985915443005753,0.0991452941477685,0.2478873189484627
潮式呼吸的中医治疗方法有哪些。,0.2791762013729977,0.2771362539658327,0.0736698451913219,0.1893764387233385
点状骨骺发育异常的中医治疗方法有哪些。,0.2303664921465968,0.2275132225333838,0.0527131733147772,0.2010581960783574
空肠憩室炎的中医治疗方法有哪些。,0.2061281337047353,0.2028168964227733,0.0462046154960847,0.1633802767044635
龋齿的中医治疗方法有哪些。,0.2296918767507002,0.2266288901841762,0.0474576221283544,0.1473087768697286
肠蛔虫病的中医治疗方法有哪些。,0.2895442359249329,0.2872628676349323,0.0881889713834214,0.2330623256295122
二尖瓣狭窄的中医治疗方法有哪些。,0.2125340599455041,0.2093663862832685,0.0528925570730965,0.1432506838039297
粪类圆线虫病的中医治疗方法有哪些。,0.2545454545454546,0.2515337373342994,0.0586206846766353,0.2024539827330725
恶性组织细胞病的中医治疗方法有哪些。,0.2424242424242424,0.2397959133778895,0.0756429602152337,0.2091836684799303
颌面部间隙感染的中医治疗方法有哪些。,0.2192513368983957,0.2162162112338934,0.0492610787846241,0.1729729679906502
间质性肺气肿的中医治疗方法有哪些。,0.2715404699738903,0.2691292826067767,0.0487062355046814,0.1688654303640327
伏暑的中医治疗方法有哪些。,0.3591160220994475,0.3575418944602229,0.1082910271987313,0.3016759726725134
系统性气栓塞的中医治疗方法有哪些。,0.2247191011235955,0.2215909041070507,0.0505050455070916,0.1931818131979598
颜面疔疮的中医治疗方法有哪些。,0.2904109589041095,0.2880886376657638,0.0927152267889569,0.2160664770009439
骨膜炎的中医治疗方法有哪些。,0.2849462365591397,0.2826086906523216,0.0456769933697569,0.2010869515218869
消化道出血的中医治疗方法有哪些。,0.2634408602150537,0.2608695602321598,0.0841423898473521,0.1902173863191164
先天性绕核性白内障的中医治疗方法有哪些。,0.2834645669291339,0.2811671037536323,0.0784929306412272,0.2440318252390435
疱疹病毒性眼睑皮炎的中医治疗方法有哪些。,0.2746113989637305,0.2722513039006606,0.0946372189749627,0.2146596808640115
血管迷走性晕厥的中医治疗方法有哪些。,0.2228260869565217,0.2197802147924466,0.0465116229136549,0.1538461488583808
中心性巨细胞肉芽肿的中医治疗方法有哪些。,0.2095238095238095,0.2067307642349298,0.0664739834474927,0.1682692257733914
胰腺损伤的中医治疗方法有哪些。,0.2486187845303867,0.2458100508848039,0.0915254187454182,0.1899441290970945
风湿性关节炎的中医治疗方法有哪些。,0.2222222222222222,0.2188449798028474,0.0398550674703324,0.1762917883134857
肝撕裂伤的中医治疗方法有哪些。,0.2644230769230769,0.2621359173682723,0.0717360065066727,0.1893203833876898
创伤性食管狭窄的中医治疗方法有哪些。,0.3023872679045092,0.3002680915492817,0.0936037391744084,0.24664878860022
反常性酸性尿的中医治疗方法有哪些。,0.2203856749311294,0.2172701899907667,0.0305602666468743,0.1838440061467556
面神经断裂的中医治疗方法有哪些。,0.3517060367454068,0.3501326210330053,0.0787401525032429,0.2493368650648355
急性化脓性胆管炎的中医治疗方法有哪些。,0.3085399449035813,0.3064066802386698,0.1178343899085664,0.2172701899879735
代偿性酸中毒的中医治疗方法有哪些。,0.2739018087855296,0.2715404649741972,0.066445177724308,0.1879895511360771
眼睑坏死的中医治疗方法有哪些。,0.2745098039215685,0.2719546692213244,0.0866666616680558,0.2039660006660836
下肢静脉曲张的中医治疗方法有哪些。,0.2506527415143603,0.2480211031894794,0.0627943435220535,0.2058047443504293
舌下腺原位癌的中医治疗方法有哪些。,0.2640586797066015,0.2617283900654168,0.0753623138609119,0.1777777727814664
腹膜后感染与脓肿的中医治疗方法有哪些。,0.1773700305810397,0.173374608006978,0.0366972427068435,0.1362229052206004
羊水栓塞的中医治疗方法有哪些。,0.3554216867469879,0.3536585316004239,0.0654545404809921,0.249999995015058
口腔念珠菌病的中医治疗方法有哪些。,0.2659279778393352,0.2633053171288909,0.0770519212988452,0.2016806672689469
肾盂肾炎的中医治疗方法有哪些。,0.2051282051282051,0.2017291016631648,0.0533333283458338,0.1440922140550957
大网膜粘连的中医治疗方法有哪些。,0.2555555555555555,0.2528089837654652,0.0609137005838855,0.2247190961250159
心绞痛的中医治疗方法有哪些。,0.2318840579710145,0.2287389979377543,0.0628272201309056,0.1583577662662001
胆道术后残留结石的中医治疗方法有哪些。,0.2979942693409742,0.2956521689224953,0.1072026751034908,0.2492753573282924
PCI术后的中医治疗方法有哪些。,0.2961038961038961,0.2939632495948637,0.113564663791659,0.2624671866027377
左心室附壁血栓的中医治疗方法有哪些。,0.2402234636871508,0.2372881306636025,0.0542264703753734,0.1412429329234896
双向性室性心动过速的中医治疗方法有哪些。,0.353887399463807,0.3523035180484868,0.0766773113012793,0.2439024340376467
骨关节炎的中医治疗方法有哪些。,0.3028720626631854,0.3007915517324441,0.0740740690788374,0.2216358789092252
舌后三分之一恶性肿瘤的中医治疗方法有哪些。,0.2525773195876289,0.2499999950012207,0.0455235154916753,0.1927083283345541
小儿厌食症的中医治疗方法有哪些。,0.2472527472527473,0.2444444394520062,0.0810810760939215,0.2111111061186729
宫颈鳞状上皮病变的中医治疗方法有哪些。,0.2580645161290322,0.2554347776100249,0.0738362710943014,0.1902173863056771
