disease,f1,rouge1,rouge2,rougeL
食管肿瘤破裂出血的中医治疗方法有哪些。,0.3872679045092838,0.3860589762490926,0.13836477490037,0.3109919521204062
脓疱疮的中医治疗方法有哪些。,0.4748603351955307,0.4745762661878771,0.1737588602558348,0.3615819159053912
唇内面黏膜恶性肿瘤的中医治疗方法有哪些。,0.4,0.3989769771328026,0.1477987371645209,0.2659846497670738
先天性泪道发育不全的中医治疗方法有哪些。,0.5595854922279793,0.560209419110633,0.2599049078521503,0.4712041835085387
结直肠肛门畸形的中医治疗方法有哪些。,0.4599483204134367,0.459530021113785,0.1969230719384143,0.3550913788161348
遗尿的中医治疗方法有哪些。,0.5131195335276969,0.513274331302373,0.206185562015092,0.4306784610958833
急性肺源性心脏病的中医治疗方法有哪些。,0.3171355498721228,0.3152454730538362,0.1187800913190204,0.2222222172398828
牙酸蚀症的中医治疗方法有哪些。,0.4232804232804233,0.4224598880761531,0.1482602068374833,0.3101604228355115
包茎和包皮过长的中医治疗方法有哪些。,0.4475920679886686,0.4469913990738992,0.1577060882477744,0.3438395366097159
楔状缺损的中医治疗方法有哪些。,0.43646408839779,0.4357541849630161,0.1490066175167757,0.3519553022814519
视神经转移性肿瘤的中医治疗方法有哪些。,0.4875621890547263,0.4874371809296482,0.182621497210964,0.4020100452512563
先天性腭瘘的中医治疗方法有哪些。,0.430622009569378,0.4299516858727158,0.1633237772497764,0.3140096568872086
臁疮的中医治疗方法有哪些。,0.5745257452574525,0.5753424607543629,0.2773246279709077,0.4712328717132671
大骨节病的中医治疗方法有哪些。,0.5277777777777778,0.5280898826406073,0.2701812141103925,0.4606741523035286
大口畸形的中医治疗方法有哪些。,0.518918918918919,0.5191256781032578,0.2073365181764765,0.4699453502344054
急性单纯性胃炎的中医治疗方法有哪些。,0.4265927977839335,0.4257703031769571,0.1663778113585781,0.3361344488352204
喉肉芽肿的中医治疗方法有哪些。,0.4334203655352481,0.4327176731587778,0.1711568888425538,0.3693931349002026
骨膜性软骨瘤的中医治疗方法有哪些。,0.4069478908188584,0.4060150326168806,0.1419939527050685,0.3258145313637478
结肠粪性穿孔的中医治疗方法有哪些。,0.4368421052631579,0.4361702077672307,0.1421800897877408,0.3244680801076562
外耳继发性感染的中医治疗方法有哪些。,0.4611260053619303,0.4607046020522764,0.1566068465536009,0.3956639516457723
前纵隔良性肿瘤的中医治疗方法有哪些。,0.4526315789473684,0.4521276546628848,0.191950459465489,0.3191489312586295
颅底脑脊液瘘的中医治疗方法有哪些。,0.4923076923076923,0.4922118330086082,0.254416956131304,0.4174454778684213
近视眼的中医治疗方法有哪些。,0.5054347826086956,0.505494500516242,0.2614379035225768,0.4285714235931651
肠上皮化生的中医治疗方法有哪些。,0.4488778054862843,0.448362715414475,0.17378497291781,0.2972292141550292
更年期综合征的中医治疗方法有哪些。,0.4157303370786517,0.4147727223090458,0.1644295252261724,0.2954545404908639
鼻出血的中医治疗方法有哪些。,0.3536231884057971,0.3519061533846458,0.1818181768500041,0.2756598190737954
失荣的中医治疗方法有哪些。,0.5028901734104047,0.5029239716328102,0.2876949690144145,0.4444444394690674
肠消化不良的中医治疗方法有哪些。,0.5449101796407184,0.5454545404547291,0.276119397986815,0.4727272677274564
